statistic,player_name,team_name,no,top_25,year,league,stat_title,statistic_id,player_id,year_id,league_id
Saves,David Bednar,Pittsburgh Pirates,39.0,Top 25,2023,National League,Pitching Statistics,11,19,2,1
Shutouts,Sandy Alcantara,Miami Marlins,1.0,Top 25,2023,National League,Pitching Statistics,12,78,2,1
Strikeouts,Spencer Strider,Atlanta Braves,281.0,Top 25,2023,National League,Pitching Statistics,15,82,2,1
Winning Percentage,Spencer Strider,Atlanta Braves,0.8,Top 25,2023,National League,Pitching Statistics,18,82,2,1
Wins,Spencer Strider,Atlanta Braves,20.0,Top 25,2023,National League,Pitching Statistics,19,82,2,1
Complete Games,Max Fried,Atlanta,2.0,Top 25,2024,National League,Pitching Statistics,2,68,3,1
ERA,Chris Sale,Atlanta,2.38,Top 25,2024,National League,Pitching Statistics,4,14,3,1
Games,Tyler Rogers,San Francisco,77.0,Top 25,2024,National League,Pitching Statistics,5,87,3,1
Saves,Ryan Helsley,St. Louis,49.0,Top 25,2024,National League,Pitching Statistics,11,76,3,1
Shutouts,Dylan Cease,San Diego,1.0,Top 25,2024,National League,Pitching Statistics,12,22,3,1
Strikeouts,Chris Sale,Atlanta,225.0,Top 25,2024,National League,Pitching Statistics,15,14,3,1
Winning Percentage,Chris Sale,Atlanta,0.857,Top 25,2024,National League,Pitching Statistics,18,14,3,1
Wins,Chris Sale,Atlanta,18.0,Top 25,2024,National League,Pitching Statistics,19,14,3,1
Complete Games,To Be Determined,--,,Top 25,2025,National League,Pitching Statistics,2,85,4,1
ERA,To Be Determined,--,,Top 25,2025,National League,Pitching Statistics,4,85,4,1
Games,To Be Determined,--,,Top 25,2025,National League,Pitching Statistics,5,85,4,1
Saves,To Be Determined,--,,Top 25,2025,National League,Pitching Statistics,11,85,4,1
Shutouts,To Be Determined,--,,Top 25,2025,National League,Pitching Statistics,12,85,4,1
Strikeouts,To Be Determined,--,,Top 25,2025,National League,Pitching Statistics,15,85,4,1
Winning Percentage,To Be Determined,--,,Top 25,2025,National League,Pitching Statistics,18,85,4,1
Wins,To Be Determined,--,,Top 25,2025,National League,Pitching Statistics,19,85,4,1
